title,answer,task
Находчивый таможенник,Таможенник опустил шары в ведро с водой. Один из шаров неустойчиво покачивался на поверхности — центр тяжести его находился не в центре шара. Именно в этом шаре были спрятаны драгоценности.,"Служащему таможни, где производился контроль отправляемых за границу товаров, показались подозрительными 
пластмассовые кегельные шары одной из фирм. Они весили столько же, сколько деревянные того же размера. Шары не были массивными, 
но стенки были повсюду одинаково тверды. Служащий подумал, что внутри каждого шара имеется полость, где можно спрятать контрабандные товары. 
И, действительно, при помощи очень простого опыта без применения особой аппаратуры таможенник установил, что в одном из 12 шаров спрятана контрабанда. 
Когда шар вскрыли, там оказалось брильянтовое украшение. Как удалось обнаружить этот шар?

"
Сколько страниц в книге?,"На первые 9 страниц требуется 9 цифр. С 10-й по 99-ю страницу (90 страниц) требуется 90х2=180 цифр. С 100-й по 999-ю страницу (900 страниц) требуется 900х3=2700 цифр (по 300 цифр на каждую сотню страниц с трехзначной нумерацией). Следовательно, на 999 страниц необходимо 2700+180+9=2889 цифр. Мы перебрали (2889-2775)/3=38 страниц. Итого: 999-38=961 страница была в книге.   ","При издании книги потребовалось 2 775 цифр того, чтобы пронумеровать ее страницы. Сколько страниц в книге?

"
Приготовление краски,"Из условия задачи видно, что желтой краски требуется в 3 раза больше, чем красной. Следовательно, имея в наличии 3 грамма желтой краски, необходимо взять 1 грамм красной краски. То есть оранжевой краски при смешивании получиться 4 грамма.","Для того чтобы получить краску оранжевого цвета, необходимо смешать краски желтого цвета (6 частей) и 
красного цвета (2 части). Сколько грамм краски оранжевого цвета можно получить (максимально), имея в наличии 3 грамма желтой и 3 грамма красной краски?

"
Ключи и замки,"Достаточно. Обозначим ключи буквами  А, В, С, а замки М, К, Р. Тогда <b>первая проба</b> может дать, например, такой результат: ключ А не подходит к замку М. Это означает, что он подходит к замку К или к замку Р. 
       <b>Вторая проба</b>: ключ В не подходит к замку М. Тогда ясно, что: а) ключ В подходит к замку К или к замку Р; б) к замку М подходит ключ С. 
       <b>Третья проба</b> ставит все на свои места: если к замку К не подходит ключ А, то к нему подходит ключ В, а ключ А подходит к замку Р. 
       Если же первая проба дает результат такой, что ключ А подходит к замку М, то тогда достаточно второй пробы, чтобы установить, какой из оставшихся ключей к какому замку подходит.","Имеется три ключа от трех чемоданов с различными замками. Каждый ключ подходит только к одному чемодану. Достаточно ли трех проб, чтобы подобрать ключи к каждому из них?  

"
Переливания,"1. Оставляем в пятилитровой банке 2 литра сока, перелив 3 литра в трехлитровую банку. 
     2. С трехлитровой банки переливаем 2 литра сока в двух­литровую банку.  
     3. Переливаем все содержимое двухлитровой банки в пятилитро­вую банку с оставшимися двумя литрами сока.","Имеются в наличии три банки: одна пятилитровая – полностью заполненная яблочным соком, 
и две пустые – на два и три литра. Используя эти три банки, методом переливания оставьте в пятилитровой банке четыре литра сока.

"
Остывший кофе,"Скорость охлаждения пропорциональна разности температур нагретого тела и окружающего воздуха. Поэтому следует сразу несколько охладить кофе, влив в него молоко, чтобы дальнейшее остывание происходило медленнее.","Вы собрались попить кофе с молоком, и успели налить в стакан только кофе. Но вас просят отлучиться на несколько минут. Что надо сделать, чтобы при вашем возвращении кофе был горячее: налить в него молоко сразу перед уходом или после, когда вы вернетесь, и почему?

"
Стеклянные шары,"Первый шар сбрасываем (пока не разобьется) с 14-го, 27-го 39-го, 50-го, 60-го, 69-го, 77-го, 84-го, 90-го, 95-го, 99-го этажей. Если, например шар разбился при сбрасывании с 69-го этажа, то вторым шаром производим сбрасывания с этажей располагающихся в интервале между 60-м и 69-м этажами. В этом и любом другом случае, минимальное количество сбрасываний шаров будет равняться 14-ти.","Имеются: два одинаковых стеклянных шара и один 100 этажный дом.
Известно что: шары начинают разбиваться при ударе о землю, падая с определенного этажа.
Как определить минимальное количество сбрасываний этих шаров с различных этажей, за которые можно гарантированно найти этот самый этаж? 

"
Землекопы,"Понадобятся те же пять землекопов, не больше. В самом деле, пять землекопов за 5 часов выкапывают 5 м канавы; значит, пять землекопов за 1 час вырыли бы 1 м канавы, а в 100 часов — 100 м.","Пять землекопов за 5 часов выкапывают 5 м канавы. Сколько потребуется землекопов, для того чтобы выкопать 100 м канавы за 100 часов?

"
Деревенский дурачок,"""Дурачок"" был не так глуп: он понимал, что, пока он будет выбирать 50-ти центовую монету, люди будут предлагать ему деньги на выбор, а если он выберет пятидолларовую купюру, предложения денег прекратятся, и он не будет получать ничего.","Люди, приезжавшие в одну деревушку, часто удивлялись местному дурачку. Когда ему предлагали выбор 
между блестящей 50-ти центовой монетой и мятой пятидолларовой купюрой, он всегда выбирал монету, хотя она стоит вдесятеро меньше купюры. 
Почему он никогда не выбирал купюру?  

"
Кольцо вокруг Земли,"Для решения данной задачи достаточно элементарных знаний геометрии. Изначально может показаться, что увеличение длины кольца на 10 метров, по сравнению с его длиной L= 40 075 000м будет способствовать образованию практически незаметного зазора. Зная формулу определения радиуса окружности и известную величину ее длины (L), определяем величину, на которую увеличится радиус (в нашем случае это будет величина зазора) при увеличении длины окружности (кольца) на 10м. 
 ΔR = (L+10м) <b>/</b> (2π)  <b>—</b>  L <b>/</b> (2π) = (40075000м+10м) <b>/</b> (2х3,14)  <b>—</b>  40075000м <b>/</b> (2х3,14) <b>=</b> 1,592м 
 В такой зазор человек сможет не только протиснуться, но и даже пройти, немного нагнувшись.","Образно представьте себе нашу планету, плотно стянутую кольцом по всему ее экватору. После увеличения длины окружности кольца на 10 метров, между кольцом и поверхностью земли образовался зазор определенной величины. 
Как Вы считаете, сможет ли человек пройти, или хотя бы протиснуться в этот зазор? 
Известно, что экватор имеет длину приблизительно равную 40 075 километров. 

"
Коробки с конфетами,12 конфет.,"Пете и Коле купили по коробке конфет. В каждой коробке находится 12 конфет. Петя из своей коробки съел несколько конфет, а Коля из своей коробки съел столько конфет, сколько осталось в коробке у Пети. Сколько конфет осталось на двоих у Пети и Коли?

"
О лифте,"Этот человек - лилипут, и до кнопки 17-го этажа дотягивается только зонтиком или просит кого-нибудь нажать на эту кнопку.","Человек живет на 17-м этаже. На свой этаж он поднимается на лифте только в дождливую
погоду или тогда, когда кто-нибудь из соседей с ним едет в лифте. Если погода хорошая и он один в лифте, то он едет до 9-го
этажа, а дальше до 17-го этажа идет пешком по лестнице... Почему?  

"
Школьный инспектор,"Учитель предварительно договорился с учениками, чтобы они вызывались отвечать независимо от того, знают ответ или не знают. Но те, кто знает ответ, должны поднимать правую руку, а те, кто не знает, — левую. Учитель каждый раз выбирал другого ученика, но всегда того, кто поднимал правую руку.","Инспектор, проверявший некую школу, заметил, что, когда бы он ни задал классу вопрос, в ответ тянули 
руки все ученики. Более того, хотя школьный учитель каждый раз выбирал другого ученика, ответ всегда был правильным. Как это получалось? 

"
Два шнура,"Необходимо поджечь первый шнур одновременно с обоих концов - получаем 30 минут. Одновременно с первым шнуром поджигаем второй шнур с одного конца, и когда первый шнур догорит (30 минут),- поджигаем второй шнур с другого конца (оставшиеся 15 минут).","У Вас есть два шнура (фитиля). Каждый шнур, подожженный с конца, полностью сгорает дотла ровно 
за один час, но при этом горит с неравномерной скоростью. 
Как при помощи этих шнуров и зажигалки отмерить время в 45 минут?

"
Улов рыболова,"Решим задачу с ее конца. Отнимем лишние 10 рыб - останется 90 рыб. В число 90 заключены три равные части, из которых две являются действительным уловом,  а третья -  дополнительной половиной от действительного улова. Следовательно, эта дополнительная половина улова составляет 90:3=30 рыб, а сам улов 30х2=60 рыб.","Возвращаясь с рыбалки домой, рыболов встретил своего приятеля, который поинтересовался его уловом. 
Но, так как наш рыболов помимо рыбалки был также большим любителем всякого рода загадок, ответил приятелю следующим образом: “Если к количеству 
пойманной мною рыбы добавить половину улова и еще десяток рыбин, то мой улов составил бы ровно сотню рыб”. Сколько рыбы поймал рыболов?

"
Флаг на воздушном шаре,"Шар, уносимый воздушным течением, находится по отношению к окружающему воздуху в покое; поэтому флаги не станут развиваться на ветру ни в какую сторону, а будут свисать, вниз, как в безветрие.","Воздушный шар уносится непрерывным ветром в южном направлении. В какую сторону развиваются при этом флаги на его гондоле?

"
Форма яйца,"Сферические и овальные яйца катились бы по прямой. Асимметричные же яйца, у которых один конец тупее, а другой острее,  при скатывании стремятся катиться по кругу.  Если яйцо лежит на краю обрыва или в другом ненадежном месте, стремление катиться по кругу, а не по прямой — большое преимущество.","Считается, что есть веская причина, по которой у птичьих яиц один конец тупее другого. Что это за причина?

"
Переправа,"Привязав веревку одним концом к дереву, растущему на берегу, необходимо обойти с веревкой озеро по окружности и привязать второй конец веревки к тому же дереву. В результате между деревьями будет натянута сдвоенная веревка для переправы на остров.","Имеется круглое глубокое озеро диаметром 200 метров и два дерева, одно из которых 
растет на берегу у самой воды, другое - по центру озера на небольшом островке. Человеку, который не умеет плавать, нужно 
перебраться на островок при помощи веревки, длина которой чуть больше 200 метров. Как ему это сделать? 

"
Поездки в трамваях,"Трамваи одного цвета ходят относительно друг друга с интервалом в десять минут. Между трамваем красного цвета и следующим за ним трамваем синего цвета интервал движения составляет одну минуту, а между трамваем синего цвета и следующим за ним трамваем красного цвета – девять минут.","Вдоль улицы, на которой я проживаю, курсируют трамваи  красного и синего цвета, относящиеся к 
одному и тому же маршруту. Количество тех и других трамваев одинаковое. Красные трамваи, равно как и синие, ходят с одинаковым интервалом 
времени, составляющим десять минут. В течение дня я совершаю по несколько поездок, причем в самое разное время. Казалось бы, 
количество поездок в трамваях красного и синего цвета должно быть приблизительно одинаковым с возможным небольшим 
отклонением. Однако, в силу некоторых обстоятельств, фактическое количество поездок в трамваях красного цвета составляет, чуть ли 
не 90% от количества всех поездок. Как можно объяснить такое явление?

"
Может ли такое быть?,"Может, например если человеку 50 лет, а его внуку или внучке 1 месяц.","Одного человека спросили:— Сколько вам лет?— Порядочно, — ответил он. — Я старше некоторых своих родственников почти в шестьсот раз. Может ли такое быть? 

"
Кофе с сахаром,"Кофе стоит 1 доллар 5 центов, а кубик сахара - соответственно 5 центов.","Чашка кофе с кубиком сахара стоит 1 доллар 10 центов. Известно, что кофе дороже кубика сахара на 1 доллар. 
Сколько стоит само кофе, и сколько стоит кубик сахара? 

"
Полуночный дождь,"Нет, так как через 72 часа снова будет полночь.","Если в 12 часов ночи идет дождь, то можно ли ожидать, что через 72 часа будет солнечная погода?

"
Шпионские страсти,Правильный ответ “Восемь” – суммарное количество букв в словах произносимых охранником.,"Агенту необходимо было проникнуть на одну “закрытую” вечеринку. Пропуском внутрь служило особое слово-пароль. 
Агент спрятался неподалеку от входа и стал прислушиваться. На вопрос охранника “Двадцать два?” первый посетитель ответил “Одиннадцать!” и был впущен внутрь. 
На вопрос “Двадцать восемь?” следующий посетитель ответил “Четырнадцать!” и также был впущен внутрь. “Всего-то делов” подумал агент, и 
на вопрос охранника “Сорок два?” смело ответил “Двадцать один!” и тут же был изгнан прочь как чужак. Каким должен был быть правильный ответ?

"
Насколько длинный... кубический метр!?,1000 км.,"Если один кубический метр разделить на составляющие его кубические миллиметры и
соединить их между собой гранями в одну прямую линию, то каковой длины окажется эта линия? 

"
Загадочное число,147.,"Трехзначное число состоит из возрастающих (слева направо) цифр. Если это число прочитать, то все слова будут начинаться на одну и туже букву. Что это за число?

"
Защита авторского права,"Обычно издатели включают в словарь несуществующее слово, а в атлас помещают несуществующий остров. Если они обнаруживаются в каком-то другом издании, факт копирования становится несомненным.","Как защищают свои издания от пиратов, которые хотели бы их скопировать, некоторые  издатели словарей и атласов?

"
Мешки с золотом,"Пронумеруем мешки от 1 до 10. Из первого мешка возьмем 1 монету, со второго 2, из третьего 3, и так до 10 монет (суммарно 55 монет). Произведем взвешивание этих монет. Если бы все монеты были золотыми, то весили бы 275 грамм. Если при нашем взвешивании не будет хватать 1 грамма, то фальшивые монеты в первом мешке, если 2-х грамм - то во втором, и так далее до 10-ти.","Имеется 10 мешков с монетами (количество монет в каждом мешке одинаковое).  В девяти мешках монеты золотые, 
а в одном - фальшивые. Вес настоящей золотой монеты 5 грамм, а вес фальшивой - 4 грамма. Как за одно взвешивание на весах (весы взвешивают с точностью до грамма) определить, в каком из мешков монеты фальшивые?

"
Изготовление гири,"Как бы точно ни была изготовлена гиря, все же фактически вес ее неизбежно несколько отличается от обозначенного на ней веса. Чтобы избежать этой неточности, гирю намеренно делают несколько тяжелее требуемого веса. А затем от незначительного лишнего веса избавляются спиливанием небольшого количества вкрапленной в гирю меди или свинца. Такое спиливание производится очень легко, так как медь и свинец, довольно мягкие металлы.","Довольно часто, при изготовлении гири в основной металл намеренно вкрапляют кусочек свинца или меди. Для чего это делается? 

"
С каемкой или без?,"Блюдце, тарелка или чашка - должны ровно стоять на горизонтальном столе. Для этого их дно шлифуется, но шлифовать всю поверхность дна было бы дорого и долго. Гораздо легче отшлифовать только кольцевую кромку дна.","Почему блюдце всегда  имеет кольцевидную каемку с нижней   стороны?

"
Безбрежное море,"Саргассово море, расположенное в Атлантическом океане. Оно замечательно тем, что почти сплошь покрыто зарослями водорослей и его ""берегами"" являются воды океана.","Мы часто произносим: ""безбрежное море"". А существует ли в действительности ""безбрежное море"", то есть море, у которого нет берегов?

"
Мост через ручей,"Задача решается с помощью несложных геометрических расчетов. 
 Сначала замеряем расстояние (по прямой линии) между домиками и делим его пополам. Для наглядности можно воспользоваться длинной веревкой, натянув ее между домиками. В средней части веревки делаем отметку и устанавливаем из нее перпендикуляр (к веревке) по направлению к ручью. Точка пересечения перпендикуляра с ручьем укажет на искомое место для постройки моста.","Двое соседей-дачников собрались построить мост через ручей, разделяющий их дачные участки. Расстояние от ручья до домика каждого дачника разное, причем домик одного дачника располагается чуть ниже по течению относительно домика другого. Как построить мост через ручей, чтобы он отстоял на одинаковом расстоянии от обоих домиков?

"
Бронзовые втулки,"Всего возможно изготовить 43 втулки. Из которых 36 втулок из первоначально имеющихся заготовок; 6 втулок из заготовок после первой переплавки стружки и еще 1 втулка из заготовки, полученной после второй переплавки стружки (от шести дополнительно полученных заготовок).","В токарном цехе ремонтного завода, токаря вытачивают втулки из бронзовых заготовок. На изготовление каждой бронзовой втулки требуется по одной заготовке. В целях экономии материала, собранная после изготовления втулок стружка бронзы идет на переплавку и литье новых подобных заготовок. 
    Сколько таким способом можно изготовить втулок из 36-ти изначально имеющихся одинаковых заготовок, если известно, что стружки, образующейся от изготовления шести втулок,  хватает для последующей выплавки одной дополнительной заготовки?

"
Два числа,"""сто"" - 100;  ""миллион"" - 1000000","Назовите два числа, у которых количество цифр равно количеству букв, составляющих название каждого из этих чисел.

"
Сколько мне лет?,"Ответ - 23 года. Разность между годами отца и сына равна 23 годам; следовательно, сыну надо иметь 23 года, чтобы отец был вдвое старше его.","Когда моему отцу был 31 год, мне было 8 лет, а теперь отец старше меня вдвое. Сколько мне лет теперь?

"
Лестничные ступеньки,"Для того, чтобы подняться на 4-й этаж, Лене необходимо пройти три лестничных пролета (60 ступенек). Чтобы подняться на 2-й этаж, Юле необходимо пройти всего лишь один лестничный пролет, то есть 20 ступенек.","Лена живет на четвертом этаже, при этом, поднимаясь к себе домой, она проходит по лестнице 60 ступенек. 
Юля живет в этом же подъезде на втором этаже. Сколько ступенек проходит Юля, поднимаясь к себе домой на второй этаж? 

"
Диаметр проволоки,"Необходимо плотно, виток к витку, намотать проволоку на карандаш (круглый, без граней), сделав тем самым не менее десяти витков (чем больше, тем точнее измерение); затем линейкой измерить в миллиметрах длину от первого до последнего витка, и полученную цифру разделить на количество сделанных витков.","Каким образом можно с максимальной точностью измерить диаметр тонкой проволоки, имея в наличии только измерительную линейку и карандаш?

"
Шум леса,"Шум ветра в лесу меняется в зависимости от породы деревьев. Сосны и ели разбивают ветер на вихри, следующие один за другим очень часто; при этом получается свистящий звук, имеющий очень высокий тон. В лиственном лесу постоянно стоит шум, потому что широкая поверхность листьев разбивает ветер на небольшие струйки. Листья, дрожа, трутся друг о друга, шелестят. Весной, когда листья молодые и нежные, шелест их мягок; грубеет он осенью, когда листья становятся более жесткими.","Как вы думаете, одинаково ли шумят хвойные и лиственные леса?

"
Два человека,Это отец и мать ребенка.,"Идут рядом два человека,один из них - отец сына другого. Как такое может быть?

"
Тиканье часов,"Загадочные перерывы в тиканье часов объясняются утомлением слуха. Наш слух притупляется на несколько секунд, и в эти промежутки мы не слышим тиканья. Спустя короткое время утомление проходит, и прежняя чуткость восстанавливается, тогда мы снова слышим ход часов. Затем наступает опять утомление, и т.д.","Положите свои карманные часы на стол, отойдите от них на несколько шагов и 
прислушайтесь к их тиканью. Если в комнате достаточно тихо, то вы услышите, что ваши часы идут словно с перерывами: 
то тикают короткое время, то на несколько секунд замолкают, то снова начинают идти и т.д. 
Чем можно объяснить такой неравномерный ход часов?

"
Зеленая земля,"Гренландию открыл примерно в 982 году скандинавский ярл Эрик Рыжий. Он стремился побудить людей селиться там и поэтому назвал страну Гренландией, так как это название могло привлечь их (на англ. greenland - ""зеленая земля"").","Гренландия - огромный остров, покрытый снегом и льдом. Почему человек, открывший этот 
остров, назвал его Гренландией, т.е. ""Зеленой землей""? 

"
Потерянные гайки,"Мальчик предложил отвернуть по одной гайке с каждого из трех колес и закрепить ими четвертое колесо. Сделав это, человек смог доехать до ближайшего гаража на прочно закрепленных колесах.","Меняя колесо своей машины, человек уронил все четыре гайки его крепления в решетку канализационного 
стока, откуда достать их было невозможно. Он уже решил, что застрял здесь, но проходивший мимо мальчик подсказал ему очень дельную мысль, которая 
позволила ему поехать дальше. В чем состояла его идея?

"
Огурец в бутылке,"В то время, когда на стебле появляется завязь огурца, необходимо ее поместить, не нарушая стебля в бутылку через горлышко, и в таком виде оставить огурец досозревать. Как известно огурцы созревают очень быстро, и через несколько дней огурец вырастет внутри бутылки.","Всем известно, что есть способ поместить в бутылку модель корабля. Но как сделать, чтобы в бутылке оказался целый спелый огурец, не повредив бутылку?

"
Сколько отверстий?,"Каждое перегибание листа будет удваивать количество отверстий. Следовательно, перегнув лист шесть раз и просверлив в нем два отверстия, получим в результате 128 отверстий на развернутом листе.","Лист бумаги прямоугольной формы перегнули пополам шесть раз. В средней части этого сложенного листа просверлили насквозь два отверстия. Сколько отверстий можно будет насчитать на листе после его разворачивания в исходное положение?

"
Взвешивание под водой,"Каждое тело, если погрузить его в воду, становится легче: оно ""теряет"" в своем весе столько, сколько весит вытесненная им вода. Булыжник весом в 2 кг занимает больший объем, чем 2-х килограммовая железная гиря, потому, что материал камня  легче железа. Значит, булыжник вытеснит больший объем воды, нежели гиря, и по закону Архимеда потеряет в воде больше веса, чем гиря. Следовательно, весы под водой наклонятся в сторону гири.","На обыкновенных чашечных весах лежат: на одной чашке - булыжник, весящий ровно 2 кг, на другой - железная гиря, весящая так же 2 кг. Весы осторожно опустили под воду. Остались ли чашки в равновесии?

"
Как повалить бетонную стену?,"Такая стена, при таком весе и заданных размерах, будет иметь толщину лишь около 2 сантиметров и легко может быть повалена рукой.","Предположим Вам надо повалить бетонную стену длиной в 20 метров, высотой в 3 метра и весом в 3 тонны. Как вы выполните эту задачу, если в вашем распоряжении нет абсолютно никаких инструментов?

"
Вес груза,На нуле.,"Человек прыгает со стула. В руках он держит весы, на чашке которых лежит груз 10 кг. 
На каком делении будет стоять стрелка весов во время падения?

"
Два кирпича,"Кирпичи начнут скользить одновременно. Ведь оба кирпича давят на доску с одинаковой силой, а значит, одинаковы и силы трения, которые приходится им преодолевать. Удельные силы трения, приходящиеся на каждый квадратный сантиметр площади соприкосновения кирпичей с доской, конечно, не равны. Но общие силы трения, действующие на кирпичи, равные произведению удельной силы трения на площадь поверхности соприкосновения, будут одинаковы.","На гладкую доску положили 2 кирпича — один плашмя, а другой на ребро. Кирпичи весят одинаково. Какой кирпич соскользнет первым, если наклонять доску? 

"
Отчего журчит ручей?,"Ручей журчит оттого, что струя воды при небольшом падении захватывает частицы воздуха и погружает их в воду, отчего образуются пузырьки. Лопаньем этих пузырьков и объясняется журчание ручья.","Все мы неоднократно слышали журчание ручья. Как Вы считаете, отчего он журчит?

"
Межрельсовый зазор,"Между стыками рельсов всегда оставляют пустые промежутки — зазоры. Делается это специально. Если зазоров не оставить и укладывать рельсы вплотную один к другому, железная дорога скоро придет в негодность. Дело в том, что все предметы при их нагревании раздаются во все стороны. Удлиняется и стальной рельс летом, когда его нагревает солнце. Если же не дать рельсам простора для удлинения, то, упираясь концами друг в друга с большой силой, они изогнутся вбок, вырвут удерживающие их костыли и исковеркают путь. В зимнюю пору происходит противоположное — сжатие рельса.","Для чего между рельсами, в местах их состыковки  оставляют зазоры?

"
Пострадавшие в ДТП,"Пользование ремнями безопасности уменьшило число погибающих при ДТП. Многие люди, которые без ремня безопасности погибли бы (и попали бы в морги), оставались в живых, но получали травмы, и им требовалось лечение. Поэтому число попадающих в больницу стало больше.","В больницу Сент-Джеймс направляли всех пострадавших в результате несчастных случаев в городе. 
Больше всего было водителей и пассажиров, пострадавших в ДТП. Чтобы уменьшить их число, городские власти сделали обязательным пользование 
ремнями безопасности. Водители и пассажиры стали пристегиваться этими ремнями, но число ДТП осталось неизменным, а число пострадавших в них 
людей, которые поступали в больницу, даже увеличилось. Почему?

"
Ночью,"За стеной громко храпел сосед, который потом проснулся от телефонного звонка.","Мужчина ночью долго ворочался в кровати и никак не мог заснуть...
Потом он взял телефон, набрал чей-то номер, прослушав несколько длинных гудков - положил трубку и спокойно заснул. Вопрос: почему он до этого не мог заснуть?

"
На аэростате,"Аэростат должен податься вниз, так как, взбираясь по тросу вверх, человек отталкивает его вместе с шаром в обратную сторону. Здесь происходит то же, что и при ходьбе человека по дну лодки: лодка подвигается при этом назад.","Аэростат свободно и неподвижно держится в воздухе. Из гондолы его вылез человек и начал по тросу взбираться вверх. Куда подвинется при этом аэростат: вверх или вниз?

"
